File,Alphabet,Depth,Entropy
alice29.txt,Bit,1,1198282
alice29.txt,Bit,2,1181590
alice29.txt,Bit,3,1168448
alice29.txt,Bit,4,1133114
alice29.txt,Bit,5,1112119
alice29.txt,Bit,6,1014828
alice29.txt,Bit,7,902496.8
alice29.txt,Bit,8,798912.2
alice29.txt,Bit,9,736984.8
alice29.txt,Byte,1,533408.3
alice29.txt,Byte,2,442450.2
alice29.txt,Byte,3,415251.2
alice29.txt,Byte,4,414089.8
alice29.txt,Byte,5,414037.6
alice29.txt,Byte,6,414070.3
alice29.txt,Byte,7,414085.6
alice29.txt,Byte,8,414021.3
alice29.txt,Byte,9,414019
asyoulik.txt,Bit,1,991483.6
asyoulik.txt,Bit,2,982338.4
asyoulik.txt,Bit,3,970955.6
asyoulik.txt,Bit,4,945280.3
asyoulik.txt,Bit,5,931937.2
asyoulik.txt,Bit,6,869788.4
asyoulik.txt,Bit,7,785468.6
asyoulik.txt,Bit,8,676265.9
asyoulik.txt,Bit,9,632968.2
asyoulik.txt,Byte,1,441422.4
asyoulik.txt,Byte,2,379397.7
asyoulik.txt,Byte,3,368545
asyoulik.txt,Byte,4,367682.1
asyoulik.txt,Byte,5,367693
asyoulik.txt,Byte,6,367655.1
asyoulik.txt,Byte,7,367651.8
asyoulik.txt,Byte,8,367618.3
asyoulik.txt,Byte,9,367578.2
cp.html,Bit,1,196927.1
cp.html,Bit,2,195263.7
cp.html,Bit,3,194186.6
cp.html,Bit,4,192265.9
cp.html,Bit,5,189498.9
cp.html,Bit,6,180888.4
cp.html,Bit,7,165795.9
cp.html,Bit,8,148791.5
cp.html,Bit,9,137667.2
cp.html,Byte,1,96188.62
cp.html,Byte,2,84833.79
cp.html,Byte,3,83488.97
cp.html,Byte,4,83365.49
cp.html,Byte,5,83357.58
cp.html,Byte,6,83352.45
cp.html,Byte,7,83353.51
cp.html,Byte,8,83353.06
cp.html,Byte,9,83353.33
fields.c,Bit,1,86583.06
fields.c,Bit,2,86065.97
fields.c,Bit,3,85408.2
fields.c,Bit,4,84706.93
fields.c,Bit,5,82942.05
fields.c,Bit,6,79570.44
fields.c,Bit,7,73161.78
fields.c,Bit,8,63173.3
fields.c,Bit,9,58506.6
fields.c,Byte,1,40130.08
fields.c,Byte,2,35720.39
fields.c,Byte,3,35216.86
fields.c,Byte,4,35025.75
fields.c,Byte,5,35042.59
fields.c,Byte,6,34927.18
fields.c,Byte,7,34926.04
fields.c,Byte,8,34927.62
fields.c,Byte,9,34927.22
grammar.lsp,Bit,1,28772.58
grammar.lsp,Bit,2,28719.48
grammar.lsp,Bit,3,28405.12
grammar.lsp,Bit,4,27924.76
grammar.lsp,Bit,5,27104.81
grammar.lsp,Bit,6,25685.47
grammar.lsp,Bit,7,23134.19
grammar.lsp,Bit,8,20300.94
grammar.lsp,Bit,9,18554.04
grammar.lsp,Byte,1,14447.31
grammar.lsp,Byte,2,13915.8
grammar.lsp,Byte,3,13921.18
grammar.lsp,Byte,4,13907.3
grammar.lsp,Byte,5,13912.06
grammar.lsp,Byte,6,13916.45
grammar.lsp,Byte,7,13916.96
grammar.lsp,Byte,8,13917.1
grammar.lsp,Byte,9,13917.15
kennedy.xls,Bit,1,5059086
kennedy.xls,Bit,2,4985874
kennedy.xls,Bit,3,4912793
kennedy.xls,Bit,4,4753636
kennedy.xls,Bit,5,4585241
kennedy.xls,Bit,6,4496684
kennedy.xls,Bit,7,4393810
kennedy.xls,Bit,8,4040842
kennedy.xls,Bit,9,3802584
kennedy.xls,Byte,1,2638170
kennedy.xls,Byte,2,2368102
kennedy.xls,Byte,3,2078636
kennedy.xls,Byte,4,2215487
kennedy.xls,Byte,5,2114223
kennedy.xls,Byte,6,2064348
kennedy.xls,Byte,7,2022950
