File,Alphabet,TS,Depth,Entropy
xargs.1,Byte,128,1,18099.59
xargs.1,Byte,128,2,18298.55
xargs.1,Byte,128,3,18484.39
xargs.1,Byte,128,4,18664.38
xargs.1,Byte,128,5,18743.21
xargs.1,Byte,128,6,18862.69
xargs.1,Byte,128,7,18992.89
xargs.1,Byte,128,8,19026.05
xargs.1,Byte,128,9,19178.94
xargs.1,Byte,256,1,18099.59
xargs.1,Byte,256,2,18116.93
xargs.1,Byte,256,3,18229.62
xargs.1,Byte,256,4,18355.61
xargs.1,Byte,256,5,18381.41
xargs.1,Byte,256,6,18472.25
xargs.1,Byte,256,7,18522.01
xargs.1,Byte,256,8,18620.31
xargs.1,Byte,256,9,18735.12
xargs.1,Byte,512,1,18099.59
xargs.1,Byte,512,2,17945.1
xargs.1,Byte,512,3,17952.05
xargs.1,Byte,512,4,18062.68
xargs.1,Byte,512,5,18105.72
xargs.1,Byte,512,6,18092.36
xargs.1,Byte,512,7,18152.2
xargs.1,Byte,512,8,18199.57
xargs.1,Byte,512,9,18333.43
xargs.1,Byte,1024,1,18097.91
xargs.1,Byte,1024,2,17929.15
xargs.1,Byte,1024,3,17895.1
xargs.1,Byte,1024,4,17951.37
xargs.1,Byte,1024,5,17972.18
xargs.1,Byte,1024,6,18022.6
xargs.1,Byte,1024,7,18058.94
xargs.1,Byte,1024,8,18041.5
xargs.1,Byte,1024,9,18092.15
xargs.1,Byte,2048,1,18097.91
xargs.1,Byte,2048,2,17927.61
xargs.1,Byte,2048,3,17922.25
xargs.1,Byte,2048,4,17934.58
xargs.1,Byte,2048,5,17939.11
xargs.1,Byte,2048,6,17965.09
xargs.1,Byte,2048,7,18006.28
xargs.1,Byte,2048,8,17966.04
xargs.1,Byte,2048,9,18033.89
xargs.1,Byte,4096,1,18097.91
xargs.1,Byte,4096,2,17938.81
xargs.1,Byte,4096,3,17928.95
xargs.1,Byte,4096,4,17914.47
xargs.1,Byte,4096,5,17903.24
xargs.1,Byte,4096,6,17911.34
xargs.1,Byte,4096,7,17919.62
xargs.1,Byte,4096,8,17932.27
xargs.1,Byte,4096,9,17943.8
xargs.1,Byte,8192,1,18097.91
xargs.1,Byte,8192,2,17941.81
xargs.1,Byte,8192,3,17926.69
xargs.1,Byte,8192,4,17907.08
xargs.1,Byte,8192,5,17926.36
xargs.1,Byte,8192,6,17926.72
xargs.1,Byte,8192,7,17926.58
xargs.1,Byte,8192,8,17921.71
xargs.1,Byte,8192,9,17926.79
xargs.1,Byte,16384,1,18097.91
xargs.1,Byte,16384,2,17920
xargs.1,Byte,16384,3,17904.57
xargs.1,Byte,16384,4,17908.6
xargs.1,Byte,16384,5,17914.79
xargs.1,Byte,16384,6,17900.79
xargs.1,Byte,16384,7,17903.42
xargs.1,Byte,16384,8,17896.17
xargs.1,Byte,16384,9,17891.21
xargs.1,Byte,32768,1,18097.91
xargs.1,Byte,32768,2,17920
xargs.1,Byte,32768,3,17896.94
xargs.1,Byte,32768,4,17909.83
xargs.1,Byte,32768,5,17918.92
xargs.1,Byte,32768,6,17903.34
xargs.1,Byte,32768,7,17906.22
xargs.1,Byte,32768,8,17904.34
xargs.1,Byte,32768,9,17897.72
xargs.1,Byte,65536,1,18097.91
xargs.1,Byte,65536,2,17920
xargs.1,Byte,65536,3,17900.43
xargs.1,Byte,65536,4,17912.51
xargs.1,Byte,65536,5,17926.25
xargs.1,Byte,65536,6,17920.17
xargs.1,Byte,65536,7,17921.93
xargs.1,Byte,65536,8,17924.1
xargs.1,Byte,65536,9,17909.7
xargs.1,Byte,131072,1,18097.91
xargs.1,Byte,131072,2,17920
xargs.1,Byte,131072,3,17899.19
xargs.1,Byte,131072,4,17912.01
xargs.1,Byte,131072,5,17922.21
xargs.1,Byte,131072,6,17914.28
xargs.1,Byte,131072,7,17916.07
xargs.1,Byte,131072,8,17917.11
xargs.1,Byte,131072,9,17909
xargs.1,Byte,262144,1,18097.91
xargs.1,Byte,262144,2,17920
xargs.1,Byte,262144,3,17898.89
xargs.1,Byte,262144,4,17915.38
xargs.1,Byte,262144,5,17918.16
xargs.1,Byte,262144,6,17915.52
xargs.1,Byte,262144,7,17914.89
xargs.1,Byte,262144,8,17916.51
xargs.1,Byte,262144,9,17914.13
xargs.1,Byte,524288,1,18097.91
xargs.1,Byte,524288,2,17920
xargs.1,Byte,524288,3,17898.72
xargs.1,Byte,524288,4,17915.29
xargs.1,Byte,524288,5,17917.27
xargs.1,Byte,524288,6,17914.66
xargs.1,Byte,524288,7,17914.35
xargs.1,Byte,524288,8,17913.95
xargs.1,Byte,524288,9,17911.51
xargs.1,Byte,1048576,1,18097.91
xargs.1,Byte,1048576,2,17920
xargs.1,Byte,1048576,3,17898.55
xargs.1,Byte,1048576,4,17915.14
xargs.1,Byte,1048576,5,17917.01
xargs.1,Byte,1048576,6,17917.96
xargs.1,Byte,1048576,7,17918.49
xargs.1,Byte,1048576,8,17917.99
xargs.1,Byte,1048576,9,17918.03
